segment_index,t_start_ps,t_stop_ps,layer,n_pairs,A40,phase40_rad,phase40_ps,cv40,chi2_40,best_period_ps,best_amplitude,best_phase_rad,best_phase_ps
0,36880089746026672,36880239745987992,time_split,33456,0.00974070530381498,-2.6294030381522786,23.260700363888695,0.03996936323433685,1.370452120810801,100,0.39984089804814277,-0.010585677332810994,99.83152371265072
1,36880239745987992,36880389745949312,time_split,32691,0.014319705914524044,3.119798920066324,19.861256783252493,0.039925970598746585,1.336209526812445,100,0.3930304929055582,-0.00172186061579989,99.97259573716802
2,36880389745949312,36880539745910632,time_split,32878,0.0038855786017149307,-3.0580754309639624,20.531687152568292,0.034413279113971816,0.9983731620084196,100,0.3964706609360341,-0.0028482687874737543,99.95466839432193
3,36880539745910632,36880689745871944,time_split,32902,0.00297992432514163,-3.1144799980710385,20.172604525846303,0.036388726403126376,1.1170983293042742,100,0.4038402244698863,-0.0068463244569102796,99.89103736206717
4,36880689745871944,36880839745833264,time_split,33302,0.0038024832272464297,2.782551595479462,17.714273633151855,0.034405534245607716,1.010793222552276,100,0.3989180657962623,-0.0017128102942051688,99.97273977750984
5,36880839745833264,36880989745794584,time_split,33124,0.014311623809347961,-2.5737232401378582,23.615168967262825,0.040443956947353095,1.3892661297564088,100,0.3898457672688501,0.017291259453318407,0.2751989414280088
6,36880989745794584,36881139745755904,time_split,33620,0.004046367808407226,2.9234687646226596,18.611380194578118,0.033220955834997075,0.9513872999893226,100,0.4005733276126901,-0.0007276292984153037,99.98841942004186
7,36881139745755904,36881289745717224,time_split,33228,0.008403834042614317,-2.3388935645644624,25.110141113349712,0.03234090691745657,0.8911359897275389,100,0.39602590194619,-0.011485931818386924,99.81719571750871
8,36881289745717224,36881439745678544,time_split,33267,0.006628004317556642,-2.896526389715768,21.560140291224556,0.03388571016573346,0.9794498744809865,100,0.4014511025368095,-0.01941557683815151,99.69099149732277
9,36881439745678544,36881589745639856,time_split,33600,0.0041328671112971956,-2.7474271133369417,22.509335765109153,0.031065498430634657,0.8314407814407815,100,0.39504444602902555,-0.021079015029827865,99.66451705624945
10,36881589745639856,36881739745601176,time_split,33232,0.009882790505595847,2.7945761028254847,17.790824024446426,0.03453180343134907,1.0160858239818278,100,0.3944269634008475,-0.024337847220007047,99.61265113107206
11,36881739745601176,36881889745562496,time_split,33241,0.00501816282737256,-2.798337127597852,22.18523254820904,0.03251726975585979,0.9012341107945934,100,0.3922111711332089,-0.012688526959736756,99.79805582138032
12,36881889745562496,36882039745523816,time_split,33411,0.013242845158251419,2.4024474677483325,15.294455600430158,0.038303240994875705,1.256886070839559,100,0.39774220869462323,-0.0298311849738356,99.52522194531252
13,36882039745523816,36882189745485136,time_split,33334,0.005787067255056936,3.1107673821515824,19.803760227138373,0.035260259047091,1.0626587468250632,100,0.39306580236271377,-0.013693796138876103,99.78205646548051
14,36882189745485136,36882339745446456,time_split,33052,0.014827171299586177,3.134134725655184,19.95252135615935,0.03928370977824108,1.3078505664733426,100,0.3933969904727131,-0.027100670171548213,99.5686794381095
15,36882339745446456,36882489745407776,time_split,32900,0.009815833482952348,-2.954834279091565,21.188940738608018,0.030698787202473283,0.795012080118463,100,0.3929598072271647,-0.008718879175918697,99.86123472809315
16,36882489745407776,36882639745369088,time_split,33120,0.008317804544223832,-3.0523256074458724,20.568291665960693,0.038338515489469434,1.2482348569305093,100,0.3923455359397415,-0.0012498532395733366,99.98010796787824
17,36882639745369088,36882789745330408,time_split,32663,0.00681730117921845,2.589617365089196,16.486016174822197,0.03781391127716915,1.1975527865372644,100,0.40059052724855143,-0.03678911665227546,99.4144830232806
18,36882789745330408,36882939745291728,time_split,33358,0.0051510019525596445,1.4827941034433416,9.43976044602092,0.027165856877445462,0.6312221263956979,100,0.3940909713737761,-0.05018607573071802,99.2012637973072
19,36882939745291728,36883089745253048,time_split,33590,0.005463748625365945,-2.4899008453505678,24.14879890615073,0.03541570058274354,1.0802818299096952,100,0.39284081100104945,-0.0386950856571254,99.3841485844304
