replicate,shift_ps,layer,n_pairs,A40,phase40_rad,phase40_ps,cv40,chi2_40,best_period_ps,best_amplitude,best_phase_rad,best_phase_ps
0,682008021389,surrogate_shift,2770,0.01031624569474938,-2.5376204508919384,23.84500646197855,0.12162368612218785,1.0506340831250578,89,0.06590200903830933,0.0767415977631144,1.087028611604494
1,-2392096160464,surrogate_shift,755,0.005215624322957384,-0.3473584571058682,37.788647381073076,0.2482693043281874,1.193241636950246,74,0.09050185371796594,-2.9792822532925998,38.91160518666667
2,2028763835886,surrogate_shift,1210,0.03994628004390703,-1.5457713950033283,30.159313663806625,0.15571441059022126,0.7522780250052977,89,0.07969065781596012,-0.024630503420511058,88.65111409305077
3,-998441706958,surrogate_shift,2379,0.009890451835383594,-1.3664300528938065,31.301036107705233,0.12303898858841188,0.9234541554844202,91,0.07148165397319664,0.2941532812602331,4.260251335273268
4,-1794926107028,surrogate_shift,1464,0.019974074592101862,-1.5805974108725491,29.937604360855293,0.15788000232998542,0.935687263556116,89,0.10490145120211225,0.24425464861470583,3.4598157883181915
5,-2018267956693,surrogate_shift,1187,0.015142626509104995,2.415030102128956,15.374559138781928,0.19568116733867574,1.16542457822997,90,0.08846116182857426,0.13325037773930548,1.9086710657465449
6,2825408342334,surrogate_shift,204,0.07292100901054446,-1.5537308768539277,30.1086420285677,0.46566047400148697,1.134238310708899,26,0.16414369699399192,-2.8772208326536575,14.093978135020977
7,-2846643199969,surrogate_shift,181,0.03534518126831398,-2.637002620338106,23.212319921076393,0.460887408574014,0.9858336874911461,23,0.16754577570613818,1.9594564725899999,7.17271521788047
8,-2001712185552,surrogate_shift,1209,0.017350898182367396,1.461374613497128,9.303399737883037,0.20852696721752123,1.3479883777650525,62,0.08104310209870783,-0.08306099575211792,61.18038678077077
9,-1325518890204,surrogate_shift,2025,0.02211113951427227,0.5449687679309577,3.469378929876476,0.13003229641148464,0.8779360557138335,54,0.06537795790438898,2.8902184962259327,24.83959825565901
