residue_ps,ch1,ch3,dt_ch3_minus_ch1
0,144683,155342,16289
1,143915,155250,16439
2,144537,155035,16515
3,143251,154794,16168
4,144440,155633,16522
5,144243,155439,16342
6,143627,154477,16418
7,143775,155361,16493
8,144143,155816,16411
9,144241,155653,16492
10,143602,155012,16760
11,143882,155261,16608
12,143928,155132,16629
13,144759,155718,16641
14,144321,155093,16635
15,144295,155340,16775
16,144685,153922,16707
17,143894,155079,16788
18,143598,155209,17002
19,144678,154964,16854
20,143841,155460,16765
21,143814,155259,17115
22,143218,155417,16871
23,143594,155523,16846
24,144269,155325,16594
25,143439,154554,16763
26,144277,154714,16762
27,144049,155615,16476
28,144379,155116,16705
29,144480,154662,16525
30,144136,155664,16694
31,143973,156420,16688
32,144557,155827,16464
33,144218,154958,16478
34,143746,154969,16389
35,143038,155893,16477
36,143395,154612,16294
37,144265,155007,16553
38,143755,155292,16583
39,143939,155179,16439
